P,alpha_max,numero_splits,nivel_final,ponteiro_split_final
10,0.4,24607.20 ± 14.92,12.00 ± 0.00,8227.20 ± 14.92
10,0.5,19370.60 ± 32.99,12.00 ± 0.00,2990.60 ± 32.99
10,0.6,15162.40 ± 30.00,11.00 ± 0.00,6974.40 ± 30.00
10,0.75,7168.60 ± 21.72,10.00 ± 0.00,3076.60 ± 21.72
10,0.8,5444.40 ± 16.46,10.00 ± 0.00,1352.40 ± 16.46
10,0.9,2447.00 ± 14.11,9.00 ± 0.00,403.00 ± 14.11
10,0.95,1187.00 ± 27.24,8.00 ± 0.00,167.00 ± 27.24
20,0.4,12440.20 ± 7.79,11.00 ± 0.00,4252.20 ± 7.79
20,0.5,9900.20 ± 8.11,11.00 ± 0.00,1712.20 ± 8.11
20,0.6,8209.60 ± 4.39,11.00 ± 0.00,21.60 ± 4.39
20,0.75,3207.00 ± 37.55,9.00 ± 0.00,1163.00 ± 37.55
20,0.8,2417.00 ± 30.33,9.00 ± 0.00,373.00 ± 30.33
20,0.9,1176.80 ± 25.65,8.00 ± 0.00,156.80 ± 25.65
20,0.95,564.80 ± 11.23,7.00 ± 0.00,56.80 ± 11.23
30,0.4,8330.00 ± 0.00,11.00 ± 0.00,142.00 ± 0.00
30,0.5,6458.20 ± 9.09,10.00 ± 0.00,2366.20 ± 9.09
30,0.6,5214.20 ± 8.58,10.00 ± 0.00,1122.20 ± 8.58
30,0.75,3395.60 ± 99.31,9.00 ± 0.00,1351.60 ± 99.31
30,0.8,1951.40 ± 13.67,8.00 ± 0.00,931.40 ± 13.67
30,0.9,742.20 ± 3.96,7.00 ± 0.00,234.20 ± 3.96
30,0.95,375.40 ± 9.15,6.00 ± 0.00,123.40 ± 9.15
40,0.4,6242.60 ± 1.14,10.00 ± 0.00,2150.60 ± 1.14
40,0.5,4991.40 ± 1.67,10.00 ± 0.00,899.40 ± 1.67
40,0.6,4157.60 ± 2.30,10.00 ± 0.00,65.60 ± 2.30
40,0.75,2042.00 ± 26.30,8.80 ± 0.45,202.80 ± 432.27
40,0.8,1353.60 ± 35.12,8.00 ± 0.00,333.60 ± 35.12
40,0.9,579.40 ± 12.97,7.00 ± 0.00,71.40 ± 12.97
40,0.95,279.20 ± 14.72,6.00 ± 0.00,27.20 ± 14.72
50,0.4,4996.00 ± 0.00,10.00 ± 0.00,904.00 ± 0.00
50,0.5,3923.40 ± 2.97,9.00 ± 0.00,1879.40 ± 2.97
50,0.6,2824.20 ± 26.83,9.00 ± 0.00,780.20 ± 26.83
50,0.75,2102.00 ± 10.07,9.00 ± 0.00,58.00 ± 10.07
50,0.8,1500.00 ± 24.73,8.00 ± 0.00,480.00 ± 24.73
50,0.9,522.00 ± 19.69,6.80 ± 0.45,65.20 ± 102.09
50,0.95,222.60 ± 9.02,5.00 ± 0.00,98.60 ± 9.02
60,0.4,4163.00 ± 0.00,10.00 ± 0.00,71.00 ± 0.00
60,0.5,3291.20 ± 7.66,9.00 ± 0.00,1247.20 ± 7.66
60,0.6,2703.20 ± 12.07,9.00 ± 0.00,659.20 ± 12.07
60,0.75,2115.80 ± 7.43,9.00 ± 0.00,71.80 ± 7.43
60,0.8,1264.00 ± 33.20,8.00 ± 0.00,244.00 ± 33.20
60,0.9,409.80 ± 15.90,6.00 ± 0.00,157.80 ± 15.90
60,0.95,184.60 ± 3.13,5.00 ± 0.00,60.60 ± 3.13
70,0.4,3567.00 ± 1.22,9.00 ± 0.00,1523.00 ± 1.22
70,0.5,2851.00 ± 1.22,9.00 ± 0.00,807.00 ± 1.22
70,0.6,2373.20 ± 1.30,9.00 ± 0.00,329.20 ± 1.30
70,0.75,1080.20 ± 9.20,8.00 ± 0.00,60.20 ± 9.20
70,0.8,892.60 ± 51.74,7.00 ± 0.00,384.60 ± 51.74
70,0.9,431.20 ± 16.30,6.00 ± 0.00,179.20 ± 16.30
70,0.95,157.00 ± 2.24,5.00 ± 0.00,33.00 ± 2.24
80,0.4,3121.00 ± 0.00,9.00 ± 0.00,1077.00 ± 0.00
80,0.5,2496.00 ± 0.00,9.00 ± 0.00,452.00 ± 0.00
80,0.6,2080.00 ± 0.00,9.00 ± 0.00,36.00 ± 0.00
80,0.75,1089.00 ± 7.52,8.00 ± 0.00,69.00 ± 7.52
80,0.8,942.00 ± 50.65,7.00 ± 0.00,434.00 ± 50.65
80,0.9,311.20 ± 13.48,6.00 ± 0.00,59.20 ± 13.48
80,0.95,144.80 ± 7.12,5.00 ± 0.00,20.80 ± 7.12
90,0.4,2774.00 ± 0.00,9.00 ± 0.00,730.00 ± 0.00
90,0.5,2219.00 ± 0.00,9.00 ± 0.00,175.00 ± 0.00
90,0.6,1454.80 ± 11.30,8.00 ± 0.00,434.80 ± 11.30
90,0.75,1103.60 ± 6.31,8.00 ± 0.00,83.60 ± 6.31
90,0.8,1023.20 ± 9.28,7.60 ± 0.55,208.00 ± 272.06
90,0.9,315.80 ± 21.72,6.00 ± 0.00,63.80 ± 21.72
90,0.95,127.60 ± 3.91,4.80 ± 0.45,16.40 ± 25.60
100,0.4,2496.00 ± 0.00,9.00 ± 0.00,452.00 ± 0.00
100,0.5,1964.00 ± 5.29,8.00 ± 0.00,944.00 ± 5.29
100,0.6,1459.80 ± 7.09,8.00 ± 0.00,439.80 ± 7.09
100,0.75,1112.80 ± 3.90,8.00 ± 0.00,92.80 ± 3.90
100,0.8,1033.20 ± 3.19,8.00 ± 0.00,13.20 ± 3.19
100,0.9,341.80 ± 14.64,6.00 ± 0.00,89.80 ± 14.64
100,0.95,124.20 ± 4.66,4.60 ± 0.55,25.80 ± 31.84
